"Unless indicated otherwise, individual judge's scores in the charts below (given in round brackets) are listed in this order from left to right: Craig Revel Horwood, Darcey Bussell, Shirley Ballas, Bruno Tonioli.",,,,
,,,,
Launch show,,,,
,,,,
"Musical guests: Nile Rodgers & Chic feat. Craig David & Stefflon Don—""Sober""[12]",,,,
,,,,
Week 1,,,,
,,,,
Running order,,,,
,,,,
Faye & Giovanni,"39 (9,10,10,10)",Waltz,"""See the Day""—Dee C Lee",Safe
Joe & Dianne,"35 (7,8,10,10)",Street,"""Jump Around""—House of Pain",Safe
Charles & Karen,"30 (6,8,8,8)",Tango,"""Eleanor Rigby""—Big Country",Safe
Lauren & AJ,"23 (5,6,6,6)",Salsa,"""Familiar""—Liam Payne & J Balvin",Safe
Stacey & Kevin,"39 (9,10,10,10)",Paso Doble,"""Malagueña""—Brian Setzer",Safe
,,,,
Judges' votes to save,,,,
,,,,
Revel Horwood: Ashley & Pasha,,,,
Bussell: Ashley & Pasha,,,,
Tonioli: Ashley & Pasha,,,,
"Ballas: Did not vote, but would have voted to save Ashley & Pasha",,,,
,,,,
Week 11: Musicals Week (Quarter-final),,,,
,,,,
"Musical guests: Trevor Dion Nicholas—""The Rhythm of Life"";[41] Adam Lambert—""We Are the Champions""[42]",,,,
,,,,
Running order,,,,
,,,,
Couple,Score[43],Dance[44],Music[44],Result
Lauren & AJ,"35 (8,9,9,9)",American Smooth,"""I'm in Love with a Wonderful Guy""—from South Pacific",Safe
Faye & Giovanni,"40 (10,10,10,10)",Charleston,"""The Lonely Goatherd""—from The Sound of Music",Safe
Charles & Karen,"35 (8,9,9,9)",Rumba,"""Maria""—from West Side Story",Eliminated
Ashley & Pasha,"38 (9,10,9,10)",Quickstep,"""Don't Rain on My Parade""—from Funny Girl",Bottom two
Stacey & Kevin,"38 (9,9,10,10)",American Smooth,"""I Dreamed a Dream""—from Les Misérables",Safe
Joe & Dianne,"36 (8,9,9,10)",Salsa,"""Joseph Megamix""—from Joseph and the Amazing Technicolor Dreamcoat",Safe
,,,,
Judges' votes to save,,,,
,,,,
Revel Horwood: Ashley & Pasha,,,,
Bussell: Ashley & Pasha,,,,
Tonioli: Ashley & Pasha,,,,
"Ballas: Did not vote, but would have voted to save Ashley & Pasha",,,,
,,,,
Week 12: Semi-Final,,,,
,,,,
"Musical guests: Little Mix—""Woman Like Me""[45]",,,,
,,,,
Running order,,,,
,,,,
Couple,Score[46],Dance,Music[47],Result
Stacey & Kevin,"39 (9,10,10,10)",Charleston,"""Five Foot Two, Eyes of Blue""—Spike Jones",Safe
,"36 (8,9,10,9)",Viennese Waltz,"""You're My World""—Cilla Black",
Joe & Dianne,"29 (6,8,7,8)",Viennese Waltz,"""This Year's Love""—David Gray",Safe
,"30 (6,8,8,8)",Argentine Tango,"""Red Right Hand""—Nick Cave and the Bad Seeds",
Ashley & Pasha,"36 (9,9,9,9)",Paso Doble,"""Spectrum (Say My Name)""—Florence and the Machine",Bottom two
,"40 (10,10,10,10)",American Smooth,"""Ain't That a Kick in the Head?""—Dean Martin",
Lauren & AJ,"31 (7,8,8,8)",Tango,"""Nutbush City Limits""—Tina Turner",Eliminated
,"23 (5,6,6,6)",Samba,"""Rock the Boat""—The Hues Corporation",
Faye & Giovanni,"37 (9,9,9,10)",Samba,"""I Go to Rio""—Pablo Cruise",Safe
,"39 (9,10,10,10)",Argentine Tango,"""La cumparsita""—Machiko Ozawa",
,,,,
"For the Dance Off, Ashley & Pasha chose to dance their American Smooth, while Lauren & AJ chose to dance their Tango.",,,,
,,,,
Judges' votes to save,,,,
,,,,
Revel Horwood: Ashley & Pasha,,,,
Bussell: Ashley & Pasha,,,,
Tonioli: Ashley & Pasha,,,,
"Ballas: Did not vote, but would have voted to save Ashley & Pasha",,,,
,,,,
Week 13: Final,,,,
,,,,
"Musical guest: Michael Bublé—""Such a Night""",,,,
,,,,
Running order,,,,
,,,,
Couple,Score,Dance,Music,Result
Ashley & Pasha,"40 (10,10,10,10)",Salsa,"""(I've Had) The Time of My Life""–from Dirty Dancing",Runners-up
,"40 (10,10,10,10)",Showdance,"""Keeping Your Head Up""–Birdy",
,"40 (10,10,10,10)",Charleston,"""Witch Doctor""–Don Lang",
Stacey & Kevin,"39 (9,10,10,10)",Foxtrot,"""Hi Ho Silver Lining""–Jeff Beck",Winners
,"36 (8,9,9,10)",Showdance,"""Land of 1000 Dances""–Wilson Pickett",
,"39 (9,10,10,10)",Paso Doble,"""Malagueña""–Brian Setzer",
Faye & Giovanni,"40 (10,10,10,10)",Viennese Waltz,"""It's a Man's Man's Man's World""–Seal",Runners-up
,"40 (10,10,10,10)",Showdance,"""Lullaby of Broadway""–Harry Warren & Al Dubin",
,"40 (10,10,10,10)",Jazz,"""Fever""–Peggy Lee",
Joe & Dianne,"39 (9,10,10,10)",Paso Doble,"""Pompeii""–Bastille",Runners-up
,"39 (9,10,10,10)",Showdance,"""I Bet You Look Good on The Dancefloor""–Arctic Monkeys",
,"38 (9,9,10,10)",Charleston,"""Cotton Eye Joe""–Rednex",
