Celebrity,Known for,Age,Celebrity_BAME,Professional,Series,Place,Dances,Best score,Worst score,Aggregate,Average
Zoe Ball,TV & radio presenter,35,0,Ian Waite,3,3rd/12,13,38,29,454,34.92
Colin Jackson,Olympic hurdler,38,1,Erin Boag,3,2nd/12,13,39,26,438,33.69
Darren Gough,Cricketer,35,0,Lilia Kopylova,3,1st/12,13,36,19,406,31.23
Nicholas Owen,TV presenter,59,0,Nicole Cutler,4,14th/14,1,14,14,14,14
Mica Paris,Singer & TV presenter,37,1,Ian Waite,4,13th/14,1,20,20,20,20
Jimmy Tarbuck,Comedian,66,0,Flavia Cacace,4,12th/14,1,17,17,17,17
Spoony,Radio DJ,36,1,Ola Jordan,4,11th/14,2,27,27,54,27
Georgina Bouzova,Actress,27,0,James Jordan,4,10th/14,3,26,14,58,19.33
Jan Ravens,Comedian,48,0,Anton du Beke,4,9th/14,4,25,18,91,22.75
Ray Fearon,Actor,39,0,Camilla Dallerup,4,8th/14,5,35,26,147,29.4
Peter Schmeichel,Footballer,43,0,Erin Boag,4,7th/14,6,31,19,148,24.66
Claire King,Actress,43,0,Brendan Cole,4,6th/14,7,32,21,174,24.86
Carol Smillie,TV presenter,44,0,Matthew Cutler,4,5th/14,9,34,25,265,29.44
Louisa Lytton,Actress,17,0,Vincent Simone,4,4th/14,11,36,26,348,31.64
Emma Bunton,Singer,30,0,Darren Bennett,4,3rd/14,13,37,30,442,34
Matt Dawson,Rugby player,34,0,Lilia Kopylova,4,2nd/14,16,38,19,493,30.81
Mark Ramprakash,Cricketer,37,1,Karen Hardy,4,1st/14,16,40,27,536,33.5
Brian Capron,Actor,60,0,Karen Hardy,5,14th/14,1,18,18,18,18
Stephanie Beacham,Actress,60,0,Vincent Simone,5,13th/14,1,24,24,24,24
Willie Thorne,Snooker player,53,0,Erin Boag,5,12th/14,2,24,23,47,23.5
Gabby Logan,TV presenter,34,0,James Jordan,5,11th/14,3,31,29,90,30
Dominic Littlewood,TV presenter,42,0,Lilia Kopylova,5,10th/14,4,26,25,101,25.25
Penny Lancaster-Stewart,Model,36,0,Ian Waite,5,9th/14,5,35,25,150,30
Kate Garraway,TV presenter,40,0,Anton du Beke,5,8th/14,6,26,15,115,19.17
John Barnes,Footballer & manager,44,1,Nicole Cutler,5,7th/14,7,36,22,190,27.14
Kelly Brook,Model & actress,28,0,Brendan Cole,5,6th/14,7,36,28,231,33
Kenny Logan,Rugby player,35,0,Ola Jordan,5,5th/14,9,30,18,216,24
Letitia Dean,Actress,40,0,Darren Bennett,5,4th/14,11,35,23,324,29.45
Gethin Jones,TV presenter,29,0,Camilla Dallerup,5,3rd/14,13,39,22,428,32.92
Matt Di Angelo,Actor,20,0,Flavia Cacace,5,2nd/14,16,40,23,526,32.88
Alesha Dixon,Singer,29,1,Matthew Cutler,5,1st/14,16,39,31,584,36.5
Phil Daniels,Actor,50,0,Flavia Cacace,6,16th/16,1,20,20,20,20
